Param,ParamGroup,ProjectId,ResultStatus,ResultValue,SampleDate,SampleId,SampMedia,StationId,Unit,USGSPCode
Calcium,"Inorganics, Major, Metals",USGS,Historical,121,12/21/1942 0:00,nwisaz.01.94300006,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,112,1/1/1943 0:00,nwisaz.01.94300007,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,112,1/11/1943 0:00,nwisaz.01.94300008,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,112,1/21/1943 0:00,nwisaz.01.94300009,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,110,2/1/1943 0:00,nwisaz.01.94300010,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,109,2/11/1943 0:00,nwisaz.01.94300011,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,109,2/21/1943 0:00,nwisaz.01.94300012,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,96,3/5/1943 0:00,nwisaz.01.94300013,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,97,3/11/1943 0:00,nwisaz.01.94300014,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,91,3/21/1943 0:00,nwisaz.01.94300015,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,80,4/1/1943 0:00,nwisaz.01.94300016,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,58,4/14/1943 0:00,nwisaz.01.94300017,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,50,4/21/1943 0:00,nwisaz.01.94300018,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,40,5/3/1943 0:00,nwisaz.01.94300019,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,46,5/11/1943 0:00,nwisaz.01.94300020,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,52,5/21/1943 0:00,nwisaz.01.94300021,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,43,6/1/1943 0:00,nwisaz.01.94300022,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,40,6/11/1943 0:00,nwisaz.01.94300023,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,40,6/21/1943 0:00,nwisaz.01.94300024,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,40,7/1/1943 0:00,nwisaz.01.94300025,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,48,7/11/1943 0:00,nwisaz.01.94300026,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,67,7/21/1943 0:00,nwisaz.01.94300027,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,80,8/1/1943 0:00,nwisaz.01.94300028,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,105,8/11/1943 0:00,nwisaz.01.94300029,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,114,8/21/1943 0:00,nwisaz.01.94300030,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,104,9/1/1943 0:00,nwisaz.01.94300031,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,98,9/11/1943 0:00,nwisaz.01.94300032,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,110,9/21/1943 0:00,nwisaz.01.94300033,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,145,10/5/1943 0:00,nwisaz.01.94400001,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,128,10/11/1943 0:00,nwisaz.01.94400002,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,134,10/21/1943 0:00,nwisaz.01.94400003,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,117,11/1/1943 0:00,nwisaz.01.94400004,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,108,11/11/1943 0:00,nwisaz.01.94400005,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,110,11/21/1943 0:00,nwisaz.01.94400006,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,112,12/1/1943 0:00,nwisaz.01.94400007,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,111,12/11/1943 0:00,nwisaz.01.94400008,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,110,12/21/1943 0:00,nwisaz.01.94400009,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,111,1/1/1944 0:00,nwisaz.01.94400010,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,120,1/11/1944 0:00,nwisaz.01.94400011,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,122,1/22/1944 0:00,nwisaz.01.94400012,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,89,2/1/1944 0:00,nwisaz.01.94400013,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,96,2/12/1944 0:00,nwisaz.01.94400014,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,94,2/22/1944 0:00,nwisaz.01.94400015,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,86,3/2/1944 0:00,nwisaz.01.94400016,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,100,3/12/1944 0:00,nwisaz.01.94400017,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,89,3/22/1944 0:00,nwisaz.01.94400018,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,86,4/1/1944 0:00,nwisaz.01.94400019,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,65,4/11/1944 0:00,nwisaz.01.94400020,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,66,4/21/1944 0:00,nwisaz.01.94400021,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,72,5/1/1944 0:00,nwisaz.01.94400022,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,52,5/11/1944 0:00,nwisaz.01.94400023,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,40,5/21/1944 0:00,nwisaz.01.94400024,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,37,6/1/1944 0:00,nwisaz.01.94400026,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,35,6/11/1944 0:00,nwisaz.01.94400027,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,37,6/21/1944 0:00,nwisaz.01.94400028,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,41,7/1/1944 0:00,nwisaz.01.94400030,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,46,7/14/1944 0:00,nwisaz.01.94400031,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,66,7/21/1944 0:00,nwisaz.01.94400032,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,83,8/1/1944 0:00,nwisaz.01.94400033,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,96,8/11/1944 0:00,nwisaz.01.94400034,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,116,8/21/1944 0:00,nwisaz.01.94400035,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,118,9/1/1944 0:00,nwisaz.01.94400036,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,111,9/11/1944 0:00,nwisaz.01.94400037,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,122,9/21/1944 0:00,nwisaz.01.94400038,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,118,10/1/1947 0:00,nwisaz.01.94800001,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,127,10/12/1947 0:00,nwisaz.01.94800002,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,118,10/21/1947 0:00,nwisaz.01.94800003,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,96,11/1/1947 0:00,nwisaz.01.94800004,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,99,11/11/1947 0:00,nwisaz.01.94800005,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,101,11/21/1947 0:00,nwisaz.01.94800006,Surface Water,USGS-09380000,mg/l,915
